RelativeStrength,CmeRadius,DeltaOrientation,ApexCoeff,Helicity,bgRunIdx,realization
1.11125,0.77875,-30.825,1.1140625,-1.0,13.0,[4]
1.21625,0.76625,-8.325000000000003,0.9153125,-1.0,11.0,[1]
0.83375,0.43374999999999997,-9.225000000000001,1.1815625,1.0,14.0,[1]
1.10375,0.45375,43.425,1.0503125,1.0,18.0,[1]
1.16375,0.56375,20.47500000000001,0.9190625,1.0,18.0,[1]
1.86875,0.69625,11.924999999999997,0.9434375,-1.0,9.0,[4]
1.13375,0.75875,-17.325,0.9584375,1.0,19.0,[5]
1.12625,0.65125,28.125,1.1909375,-1.0,14.0,[1]
1.96625,0.38875,-27.675,1.1328125,1.0,11.0,[1]
1.18625,0.6287499999999999,5.625,1.2059375,-1.0,19.0,[5]
1.44875,0.36875,-1.125,0.9171875,1.0,17.0,[5]
1.4637499999999999,0.58375,38.925,0.9209375,-1.0,11.0,[1]
1.1712500000000001,0.40125,10.575000000000003,1.0971875,-1.0,14.0,[1]
1.17875,0.32875,44.775000000000006,1.1965625,1.0,15.0,[1]
1.29125,0.51875,-43.875,1.1946875000000001,-1.0,18.0,[1]
1.48625,0.31875,-13.725000000000001,0.9453125,-1.0,13.0,[4]
1.04375,0.39125,-9.674999999999997,1.1534375,-1.0,9.0,[4]
1.6437499999999998,0.38125,19.125,1.0859375,-1.0,13.0,[4]
1.95875,0.70875,41.175,1.2284375,-1.0,16.0,[1]
1.22375,0.71625,-42.525,1.1403125,-1.0,14.0,[1]
1.23125,0.54875,-33.975,1.0878125,1.0,9.0,[4]
1.23875,0.43875,-41.625,0.9359375,1.0,17.0,[5]
1.4112500000000001,0.44625,-14.624999999999996,0.9771875,-1.0,19.0,[5]
1.26125,0.39375,-28.575,1.0296875,1.0,13.0,[4]
1.03625,0.50125,-2.0249999999999986,1.0840625,1.0,16.0,[1]
1.2687499999999998,0.70375,-6.075000000000003,1.1084375,-1.0,15.0,[1]
1.39625,0.7737499999999999,-6.975000000000001,1.2209375,-1.0,20.0,[6]
0.79625,0.71375,-25.875,1.0390625,1.0,15.0,[1]
1.38875,0.74125,37.575,1.0953125,-1.0,17.0,[5]
1.49375,0.6387499999999999,-8.774999999999999,1.0353125,-1.0,14.0,[1]
1.28375,0.30624999999999997,11.025000000000006,0.9978125,1.0,16.0,[1]
0.64625,0.63125,2.924999999999997,0.9996875000000001,1.0,18.0,[1]
1.3287499999999999,0.73375,-29.475,1.1984375,-1.0,11.0,[1]
1.31375,0.34625,-18.675,1.1853125,1.0,19.0,[5]
0.85625,0.46375,-4.274999999999999,0.8984375,1.0,19.0,[5]
1.00625,0.31625,-39.375,1.1028125,-1.0,16.0,[1]
1.35125,0.5762499999999999,-38.475,0.9228125,-1.0,13.0,[4]
1.4187500000000002,0.50625,-19.125000000000004,1.1384375,1.0,13.0,[4]
1.40375,0.68625,5.174999999999997,1.1590625,1.0,16.0,[1]
0.65375,0.74875,-15.974999999999998,1.2303125000000001,1.0,14.0,[1]
1.93625,0.54125,-21.375,1.0615625,1.0,14.0,[1]
1.37375,0.57875,30.825000000000003,1.0278125,1.0,15.0,[1]
1.29875,0.41625,20.025000000000006,1.0653125,-1.0,9.0,[4]
1.71875,0.52125,32.175,1.1759374999999999,-1.0,16.0,[1]
0.86375,0.59875,-7.425000000000004,0.9846874999999999,-1.0,16.0,[1]
0.90125,0.63375,20.924999999999997,1.1346875,-1.0,15.0,[1]
1.42625,0.42874999999999996,10.125000000000007,0.8815625,1.0,18.0,[1]
1.30625,0.71875,-12.375,0.8928125,-1.0,16.0,[1]
1.2762499999999999,0.52625,9.675000000000004,1.2378125,1.0,11.0,[1]
1.44125,0.79625,8.775000000000006,1.0709374999999999,-1.0,19.0,[5]
0.7887500000000001,0.45875,-11.924999999999997,0.9396875,-1.0,15.0,[1]
