Radius,BStrength,ApexHeight,Orientation,restartdir,realization
0.59875,-15.435266597077245,0.589581640625,179.70499999999998,16.0,[1]
0.63375,-15.215944181459566,0.7191082031250001,208.055,15.0,[1]
0.42874999999999996,35.59287959183674,0.377969921875,197.255,18.0,[1]
0.71875,-19.445541739130434,0.641708984375,174.755,16.0,[1]
0.52625,25.94867862232779,0.6513988281249999,196.805,11.0,[1]
0.79625,-19.366960910518053,0.8527339843749999,195.905,19.0,[5]
0.45875,-18.39648692098093,0.431081640625,175.20499999999998,15.0,[1]
0.78375,-10.97273859649123,0.7879136718749999,199.95499999999998,11.0,[1]
0.66875,-23.539340000000003,0.639701171875,155.405,15.0,[1]
0.56125,-37.91363630289532,0.6694660156250001,222.45499999999998,9.0,[4]
0.35875,22.182304878048782,0.339803515625,184.655,20.0,[6]
0.78125,21.279563359999997,0.906982421875,158.105,18.0,[1]
0.67625,10.6997,0.821855078125,226.95499999999998,11.0,[1]
0.77625,20.382842351046698,0.789106640625,168.905,16.0,[1]
0.57125,-12.385429540481399,0.555005078125,154.055,11.0,[1]
0.37124999999999997,45.21253703703704,0.433782421875,145.055,20.0,[6]
0.42374999999999996,-38.66410766961652,0.4784402343749999,225.605,15.0,[1]
0.62125,-27.66421428571429,0.7095839843749999,183.305,11.0,[1]
0.33125,-49.94539207547171,0.332388671875,216.155,20.0,[6]
0.53375,26.786836768149886,0.5195722656249999,161.70499999999998,18.0,[1]
0.36624999999999996,54.81313890784983,0.37574960937499996,222.90499999999997,19.0,[5]
0.65625,17.873594095238094,0.579755859375,205.805,16.0,[1]
0.78625,15.530725119236882,0.830230859375,193.20499999999998,15.0,[1]
0.54375,-30.72166735632184,0.645533203125,188.70499999999998,17.0,[5]
0.52875,32.200279196217494,0.49190273437500004,176.105,9.0,[4]
0.33875,30.59877306273063,0.38119960937499997,160.355,14.0,[1]
0.56875,30.500023956043957,0.683744140625,162.155,19.0,[5]
0.46625,-36.17244423592493,0.45124257812499996,144.155,16.0,[1]
0.6487499999999999,-25.37828651252409,0.678957421875,160.805,9.0,[4]
0.58875,17.87826730360934,0.657008203125,187.805,9.0,[4]
0.6187499999999999,29.332308888888896,0.7577753906249999,198.605,18.0,[1]
0.30874999999999997,-56.44416639676114,0.35728164062499995,151.355,15.0,[1]
0.65375,-9.840450669216061,0.815348828125,200.405,9.0,[4]
0.48875,29.417333759590793,0.499594140625,204.45499999999998,20.0,[6]
0.48375,35.02976718346253,0.43099101562500003,231.005,17.0,[5]
0.33625,-53.25984498141265,0.350645703125,180.605,17.0,[5]
0.5562499999999999,-34.93632382022472,0.4882832031249999,210.305,13.0,[4]
0.70625,29.56147203539823,0.720595703125,145.95499999999998,18.0,[1]
0.40375,-23.48633839009288,0.358958984375,214.805,11.0,[1]
0.76125,23.94694761904762,0.9165925781250001,187.355,13.0,[4]
0.41125,44.522459878419454,0.370253515625,164.855,20.0,[6]
0.47125,27.444588594164458,0.426039453125,225.155,13.0,[4]
0.49624999999999997,38.67523803526449,0.5295917968749999,147.305,15.0,[1]
0.46875,37.34908613333334,0.5468261718749999,203.105,9.0,[4]
0.60875,-30.605096714579055,0.615408203125,186.905,15.0,[1]
0.75625,8.294478181818183,0.8155683593749999,177.005,18.0,[1]
0.7537499999999999,-11.09007048092869,0.8340714843749998,213.005,9.0,[4]
0.69375,-28.12767981981982,0.866537109375,174.305,18.0,[1]
0.43125,-49.52875623188405,0.46345898437500005,190.95499999999998,16.0,[1]
0.47624999999999995,39.45689895013124,0.5368230468749999,195.005,19.0,[5]
0.64375,-29.689070485436893,0.6109589843750001,231.45499999999998,18.0,[1]
0.7362500000000001,-13.533576400679115,0.8961542968750001,221.555,13.0,[4]
0.42625,45.21486129032258,0.487656640625,214.355,20.0,[6]
0.72875,-25.895843396226415,0.9006894531249999,217.505,19.0,[5]
0.45625,-39.42766164383562,0.464662109375,221.105,14.0,[1]
0.73125,-15.491702393162393,0.7378769531249999,182.405,17.0,[5]
0.37875,-48.978494719471946,0.34596445312499996,146.405,19.0,[5]
0.5662499999999999,-10.227307064017662,0.5798753906249999,166.20499999999998,18.0,[1]
0.58125,-32.60532236559139,0.671525390625,202.655,14.0,[1]
0.59625,-32.4579997903564,0.655316015625,154.505,19.0,[5]
0.75125,-14.438363893510815,0.701714453125,201.755,14.0,[1]
0.57375,35.54911220043573,0.713422265625,226.505,17.0,[5]
0.6812499999999999,21.340502568807345,0.596732421875,227.855,14.0,[1]
0.46125,-35.17272655826558,0.5640222656249999,195.45499999999998,13.0,[4]
0.49375,-40.98391417721518,0.597283203125,209.405,18.0,[1]
0.74625,23.675550586264656,0.716633203125,211.65499999999997,16.0,[1]
0.55125,10.068878684807258,0.646168359375,212.105,20.0,[6]
0.35375,-57.884242756183745,0.43853945312500003,191.405,14.0,[1]
0.64125,-32.05738576998051,0.687941015625,213.45499999999998,11.0,[1]
0.44375,13.231459999999998,0.47023632812499994,149.105,20.0,[6]
0.34375,57.700564,0.317861328125,181.505,15.0,[1]
0.72375,-8.22343091537133,0.833443359375,185.555,19.0,[5]
0.6912499999999999,-19.29041754068716,0.6780730468749999,203.555,13.0,[4]
0.73875,-11.7497551607445,0.723282421875,159.005,20.0,[6]
0.43625,44.9142134670487,0.5383597656250001,163.505,9.0,[4]
0.5037499999999999,-21.213549131513652,0.4667558593749999,167.555,17.0,[5]
0.7262500000000001,29.18937091222031,0.7859386718750001,142.355,13.0,[4]
0.35125,-36.363749110320285,0.353774609375,154.95499999999998,18.0,[1]
0.61375,31.009517515274947,0.539908203125,170.255,17.0,[5]
