"","RelativeStrength","CmeRadius","DeltaOrientation","ApexCoeff","Helicity","bgRunIdx","BrFactor_ADAPT","PoyntingFluxPerBSi","LperpTimesSqrtBSi"
"165",1.62875,0.49625,15.975,0.9471875,-1,5,0.804112419115475,404603.379740144,207105.243691017
"166",0.60875,0.43875,-24.525,1.1759375,-1,1,0.71507083949455,507614.887520959,123835.597474401
"167",1.76375,0.40375,4.725,0.9171875,1,1,0.71507083949455,507614.887520959,123835.597474401
"168",1.82375,0.38625,35.325,1.0015625,1,5,0.804112419115475,404603.379740144,207105.243691017
"169",1.73375,0.46875,41.175,1.2021875,1,16,1.05968841521739,379478.489056604,225877.966865679
"170",1.89875,0.75125,-21.375,1.1984375,-1,7,0.86134741758532,345527.935497053,234414
"171",1.51625,0.30125,7.875,0.9734375,-1,11,0.952379098260959,325492.925686226,199598.533497777
"172",1.78625,0.52375,21.825,1.1253125,-1,3,0.745933150993899,367697.749285884,165665.704034516
"173",1.79375,0.78125,37.575,1.0165625,1,8,0.88719036869668,390413.458638033,128123.862033631
"174",1.99625,0.68875,-16.875,1.0878125,-1,2,0.727078473815264,305196.698903132,216541.271856411
"175",1.71875,0.70125,-0.674999999999997,1.2396875,1,11,0.952379098260959,325492.925686226,199598.533497777
"176",1.86875,0.67375,-3.825,0.9678125,-1,17,1.08087041032422,300475,175994.542760121
"177",1.31375,0.55375,44.775,1.0915625,-1,5,0.804112419115475,404603.379740144,207105.243691017
"178",1.04375,0.69125,-16.425,1.2490625,1,6,0.821207461547538,314446.071428568,140095.010718056
"179",1.80125,0.58875,-2.475,1.1609375,1,7,0.86134741758532,345527.935497053,234414
"180",1.85375,0.53125,22.725,0.9790625,-1,8,0.88719036869668,390413.458638033,128123.862033631
"181",1.84625,0.60125,-36.225,1.1440625,-1,5,0.804112419115475,404603.379740144,207105.243691017
"182",1.90625,0.36625,6.525,1.0221875,1,2,0.727078473815264,305196.698903132,216541.271856411
"183",1.14875,0.48375,30.825,1.0578125,-1,16,1.05968841521739,379478.489056604,225877.966865679
"184",1.88375,0.37125,-29.025,1.2078125,1,1,0.71507083949455,507614.887520959,123835.597474401
"185",1.87625,0.38125,-41.175,0.9884375,1,11,0.952379098260959,325492.925686226,199598.533497777
"186",1.75625,0.66875,2.47499999999999,1.0559375,1,5,0.804112419115475,404603.379740144,207105.243691017
"187",1.50875,0.48875,-38.025,1.2453125,-1,1,0.71507083949455,507614.887520959,123835.597474401
"188",1.07375,0.36125,-40.275,1.1534375,-1,3,0.745933150993899,367697.749285884,165665.704034516
"189",1.64375,0.75625,-41.625,1.1965625,1,5,0.804112419115475,404603.379740144,207105.243691017
"190",1.56875,0.42875,15.075,1.2059375,1,3,0.745933150993899,367697.749285884,165665.704034516
"191",1.05875,0.66375,-34.875,1.0446875,1,16,1.05968841521739,379478.489056604,225877.966865679
"192",1.93625,0.65625,-11.475,0.9284375,1,8,0.88719036869668,390413.458638033,128123.862033631
"193",1.13375,0.32875,23.625,0.8928125,-1,7,0.86134741758532,345527.935497053,234414
"194",1.77875,0.72125,-26.325,0.8778125,1,17,1.08087041032422,300475,175994.542760121
"195",1.36625,0.49875,-2.025,1.0728125,1,8,0.88719036869668,390413.458638033,128123.862033631
"196",1.59875,0.43125,33.975,0.9434375,1,2,0.727078473815264,305196.698903132,216541.271856411
"197",1.89125,0.50125,-14.625,1.0146875,1,6,0.821207461547538,314446.071428568,140095.010718056
"198",1.01375,0.56625,11.925,0.9059375,1,17,1.08087041032422,300475,175994.542760121
"199",1.44875,0.32125,9.675,1.1159375,1,16,1.05968841521739,379478.489056604,225877.966865679
"200",1.83125,0.68375,-35.325,0.9453125,-1,6,0.821207461547538,314446.071428568,140095.010718056
