	BrMin	BrFactor_ADAPT	nChromoSi_AWSoM	PoyntingFluxPerBSi	LperpTimesSqrtBSi	StochasticExponent	rMinWaveReflection	realization	pfss	UseSurfaceWaveRefl
57	7.232716604	1.120864375	1.345432E+18	615003.4012	160961.3171	0.12132161	1.186252105	0.545454545	1	1
58	8.652515024	0.653537044	1.832011E+18	317443.0838	188961.2542	0.268239226	1.111637149	0.363636364	1	2
59	9.311074371	2.293446087	3.780710E+18	441919.9182	98920.60441	0.133185063	1.16918172	0.181818182	1	1
60	8.073727156	0.726194707	1.290540E+18	882003.7527	83854.41928	0.162205376	1.048709329	0.818181818	1	1
61	5.427897613	1.674441653	4.191701E+18	538133.9902	211189.4608	0.22626591	1.143796198	0.727272727	1	2
62	9.567283668	1.441097889	4.680202E+18	361946.4776	141287.4606	0.202418403	1.097037427	0	1	2
63	5.635594093	0.83877069	2.692371E+18	657951.1674	168262.5923	0.288399785	1.022434776	0.454545455	1	1
64	8.813364378	1.07520668	1.407002E+18	573257.0259	268253.1424	0.12413205	1.029940425	0.545454545	1	2
65	5.203557198	1.542399049	9.924081E+17	469248.0544	42085.75357	0.27668611	1.055324422	0	1	1
66	9.811770413	1.843254046	5.063509E+17	630584.9319	242234.1929	0.182408817	1.102278696	0.363636364	1	2
67	7.478916814	0.625139838	4.973867E+18	799314.3277	116476.1614	0.237879076	1.003700626	0.909090909	1	1
68	8.588352088	1.111249508	2.984936E+18	1095680.985	227678.4908	0.15141812	1.078316631	0.545454545	1	1
69	6.231556344	2.327387323	2.492933E+18	326763.8849	67610.54283	0.327042184	1.176882874	0.727272727	1	2
70	9.209778605	1.216160097	3.512624E+17	770566.1377	192544.4704	0.231293546	1.132904795	0.363636364	1	1
71	7.938194632	1.703407065	2.839072E+18	305510.526	274995.6813	0.322379516	1.059992548	0.181818182	1	2
72	5.60249327	0.755160889	2.038500E+18	1074380.347	148711.8511	0.139145586	1.158289844	0.363636364	1	2
73	7.077581879	1.395173279	3.628143E+18	594166.776	74321.4433	0.106226979	1.106983204	0.727272727	1	1
74	8.184647841	0.919473465	4.339726E+18	498387.1324	233119.1219	0.253218533	1.181598158	0.727272727	1	1
75	6.264156254	0.953437007	6.590628E+17	382833.3156	201286.2068	0.207016974	1.164525128	0.727272727	1	2
76	7.693718539	1.563999932	2.345055E+18	687015.5012	106943.4268	0.302428509	1.13912902	0.454545455	1	2
77	9.949694724	0.586615547	3.326495E+18	956925.5738	49510.38552	0.33300265	1.187872026	0.727272727	1	1
78	7.301930562	1.804730531	1.558392E+18	413196.1415	176317.5684	0.156705788	1.092333485	0.454545455	1	1
79	8.682349413	2.398616193	8.455594E+17	516808.9388	131417.39	0.244106911	1.017717006	0.727272727	1	2
80	6.020370886	1.182479668	4.036979E+18	860725.9789	292535.2618	0.18743651	1.113268137	0.454545455	1	1
81	9.255050487	1.195606988	3.392802E+18	529630.4312	150687.8388	0.321549425	1.140234077	0.545454545	1	2
82	5.322979452	0.574295458	3.806225E+18	425423.0954	191357.4226	0.169006923	1.165617981	0	1	1
83	6.954260834	1.559165894	5.853126E+17	705635.8531	235096.1324	0.196556179	1.113725577	0.181818182	1	2
84	8.385959927	0.956903496	2.573072E+18	1001810.25	73133.37221	0.283006491	1.188341676	1	1	1
85	5.740588595	1.898822312	2.906871E+18	370631.1867	215761.6381	0.107272217	1.09318234	0.909090909	1	2
86	8.874461208	2.135142913	1.792533E+18	460552.2346	252345.2819	0.301129796	1.060645873	0.363636364	1	1
87	6.541149697	0.923356834	3.690056E+18	916969.3254	108130.4788	0.117332363	1.159345262	0.727272727	1	2
88	7.650966431	1.39048215	4.104577E+18	813181.8455	199310.215	0.272230336	1.133948009	0.909090909	1	1
89	9.750749848	0.743256135	2.918678E+17	343271.0547	293723.3368	0.243274172	1.182105238	0.909090909	1	2
90	6.141324129	1.229432899	2.280872E+18	639077.3803	47533.37119	0.157282147	1.107502493	1	1	2
91	6.764890897	1.098027406	4.745429E+18	314206.7209	82667.39148	0.227304755	1.056038282	0.454545455	1	1
92	7.87218575	0.637093269	3.058266E+18	618190.5422	261487.6472	0.131875254	1.03064208	0.363636364	1	2
93	7.172743952	2.49096889	3.244929E+18	481877.286	56578.17937	0.288965276	1.177352354	0.818181818	1	1
94	8.250427813	2.013225648	3.958932E+18	585676.2405	286950.4136	0.201581891	1.102735972	0.727272727	1	2
95	5.915183767	1.07130761	9.257164E+17	841855.2436	143264.4991	0.258142998	1.004561473	0.818181818	1	1
96	9.012385408	0.835253995	4.437995E+18	726936.4912	40109.75789	0.214285504	1.049375076	0.363636364	1	1
